patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US1001984A,1911-08-29,Operating ,['VERB'],[],0,0,1,0
US1003908A,1911-09-19,Spring,['NOUN'],[],0,0,1,0
US1007491A,1911-10-31,Internal,['ADJ'],[],0,0,1,0
US1020477A,1912-03-19,Gearingk ,['NOUN'],[],0,0,1,0
US1024547A,1912-04-30,Boyers ,['NOUN'],[],0,0,1,0
US1024625A,1912-04-30,foote ,['VERB'],[],0,0,1,0
US1033652A,1912-07-23,allen ,['VERB'],[],0,0,1,0
US1039716A,1912-10-01,feller ,['NOUN'],[],0,0,1,0
US1045143A,1912-11-26,Island ,['NOUN'],[],0,0,1,0
US1053344A,1913-02-18,asbury ,['VERB'],[],0,0,1,0
US1059290A,1913-04-15,pattlks ,['NOUN'],[],0,0,1,0
US1063457A,1913-06-03,Holdback ,['NOUN'],[],0,0,1,0
US1064873A,1913-06-17,newabk ,['VERB'],[],0,0,1,0
US1075752A,1913-10-14,bartholme ,['NOUN'],[],0,0,1,0
US1092397A,1914-04-07,Island ,['NOUN'],[],0,0,1,0
US1095978A,1914-05-05,Plandgraph ,['NOUN'],[],0,0,1,0
